,EIN,OrganizationName,State,County,Lat,Lon,GeoDistance(km)
22,351165883,BAUER FAMILY RESOURCES INC,IN,Carroll County,40.5,-86.5,2837.6572547641044
24,416031510,SAINT PAUL FOUNDATION,MN,Ramsey County,44.95,-93.09,2446.480820402403
25,590952956,TALL TIMBERS RESEARCH INC,FL,Leon County,30.6,-84.2,3120.4422356589835
26,251053485,WESTERN PENNSYLVANIA CONSERVANCY,PA,Beaver County,40.69,-80.21,3368.6424104060575
27,222762623,NARCOLEPSY NETWORK INC,KY,Allen County,36.8,-86.2,2843.7639876472986
28,135563409,UNITED NEIGHBORHOOD HOUSES OF NEW YORK INC,NY,New York County,40.72,-73.99,3892.8538030117224
29,521231931,ENTERPRISE COMMUNITY PARTNERS INC,MD,Howard County,39.2,-76.88,3652.532270798101
30,262464764,LIVEWELL COLORADO,CO,Denver County,39.74,-105.02,1311.3971506636008
31,331107506,WESTERN CONSERVATION FOUNDATION,CO,Denver County,39.75,-105.0,1313.4337047522388
32,383791803,ENVIRONMENTAL HEALTH STRATEGY CENTER,ME,Cumberland County,43.66,-70.26,4194.847855782258
33,770045382,CALIFORNIA ASSOCIATION OF NONPROFITS,CA,Santa Cruz County,36.98,-121.95,599.4462072398421
34,410832480,MINNESOTA COMMUNITY FOUNDATION,MN,Ramsey County,44.95,-93.09,2446.480820402403
35,61590060,UNIVERSAL HEALTH CARE FNDTN OF CT INC,CT,New Haven County,41.54,-72.78,3991.7003015909027
36,421331493,YOUTH HOMES OF MID-AMERICA FOUNDATION,IA,Polk County,41.7,-93.72,2272.2884503654727
37,582366765,BETTER WORLD FUND INC,DC,District of Columbia,38.9,-77.04,3640.1529516123974
38,30538111,ANIMAL DEFENDERS INTERNATIONAL INC US,CA,Los Angeles County,34.07,-118.38,142.48542735295413
39,942707273,MOTHERS AGAINST DRUNK DRIVING,TX,Dallas County,32.85,-96.96,1889.0597675012807
40,383160228,MICHIGAN COMMUNITY FOUNDATION VENTURES,MI,Ottawa County,43.0,-86.1,2914.5601231582746
41,131635294,UNITED WAY WORLDWIDE,WA,King County,47.4,-121.9,1626.6797734229208
42,561380249,COMMUNITY FOUNDATION OF GREATER GREENSBORO INC,CA,San Francisco County,37.76,-122.44,691.0868270066013
43,954703838,RESOURCES LEGACY FUND,CA,Sacramento County,38.58,-121.49,709.5556000803953
44,521674088,NATIONAL MENTORING PARTNERSHIP INC,PA,Philadelphia County,39.9497,-75.1636,3796.3367391469696
45,237175375,ELECTRIC POWER RESEARCH INSTITUTE INC,TN,Knox County,35.92,-84.19,3028.0334169858006
46,911550803,PARTNERSHIP FOR LEARNING,WA,King County,47.61,-122.33,1658.0972349259685
47,943173571,GREENLINING INSTITUTE,CA,Alameda County,37.87,-122.25,688.4870530302992
48,561422691,MOUNTAINTRUE,NC,Watauga County,36.2,-81.6,3257.8028318316924
49,510292919,FARM SANCTUARY,NY,Schuyler County,42.4,-77.0,3644.041525150432
50,741984482,COASTAL CONSERVATION ASSOCIATION,TX,Harris County,29.77,-95.5,2093.399948137479
51,570887278,SOUTH CAROLINA COASTAL CONSERVATION LEAGUE INC,SC,Charleston County,32.78,-79.93,3462.2319991415693
52,952564024,CALIFORNIA FAMILY HEALTH COUNCIL INC,CA,Los Angeles County,34.06,-118.3,136.36214863958392
53,260615175,FOUNDATION FOR EXCELLENCE IN EDUCATION INC,FL,Leon County,30.43,-84.26,3119.510988137817
54,936027731,OREGON STATE SHERIFFS ASSOCIATION,OR,Benton County,44.6,-123.3,1370.4706586361965
55,943281780,NEW SCHOOLS FUND,CA,Alameda County,37.81,-122.27,684.7843935883415
56,741109652,SEALY AND SMITH FOUNDATION,TX,Galveston County,29.31,-94.77,2175.7103784068518
57,860253821,ARIZONA SPORTS FOUNDATION,AZ,Maricopa County,33.49,-111.92,496.0953126807678
58,237337229,BRIGHTFOCUS FOUNDATION,MD,Montgomery County,39.26,-77.29,3616.997503172036
59,860902767,VALLEY OF THE SUN BOWL FOUNDATION,AZ,Maricopa County,33.49,-111.92,496.0953126807678
60,910839385,WASHINGTON ENVIRONMENTAL COUNCIL,WA,King County,47.61,-122.33,1658.0972349259685
61,352296166,WORKERS DEFENSE PROJECT,TX,Travis County,30.3,-97.69,1874.5049613895571
62,510065731,CHILDREN AND FAMILIES FIRST DELAWARE INC,DE,New Castle County,39.74,-75.52,3766.8249237349964
63,160746860,PLANNED PARENTHOOD OF CENTRAL AND WESTERN NEW YORK INC,NY,Monroe County,43.17,-77.6,3600.5630982813345
64,364279013,CHICAGO PUBLIC EDUCATION FUND,IL,Cook County,41.883,-87.62799999999999,2767.6249157342368
65,330051202,PACIFIC CREST TRAIL ASSOCIATION,AZ,Coconino County,35.2,-111.8,548.2326518786183
66,521549711,AMERICAN IMMIGRATION COUNCIL,DC,District of Columbia,38.904,-77.032,3640.824058551001
67,576000599,HISTORIC CHARLESTON FOUNDATION,SC,Charleston County,32.78,-79.93,3462.2319991415693
68,454860788,SILICON SCHOOLS FUND INC,CA,Santa Clara County,37.33,-121.84,619.9491056907183
69,530208180,NATIONAL HOUSING CONFERENCEINC,DC,District of Columbia,38.9,-77.04,3640.1529516123974
70,320237828,GATEWAY TO COLLEGE NATIONAL NETWORK,WA,King County,47.72,-122.21,1667.2757086427857
71,237206810,NORTH CAROLINA LEAGUE OF CONSERVATION VOTERS FOUNDATION,NC,Wake County,35.79,-78.65,3526.4142897756174
72,431645180,CFLEADS,MO,Jackson County,39.11,-94.59,2131.275761604984
73,311037979,MATERIALS RESEARCH SOCIETY,TX,Harris County,29.91,-95.64,2076.1482673296105
74,300043771,RESOURCES LEGACY FUND FOUNDATION,CA,Sacramento County,38.58,-121.49,709.5556000803953
75,942718807,CALIFORNIA CHILD CARE RESOURCE AND REFERRAL NETWORK,CA,Alameda County,37.67,-122.11,663.804064856389
76,131845455,INTERNATIONAL PLANNED PARENTHOOD FEDERATION - WESTERN HEMISPHERE REGION,NY,New York County,40.71,-74.003,3891.792567565262
77,731105274,CREEK COUNCIL HOUSE MUSEUM ASSOCIATION,OK,Okmulgee County,35.7,-96.0,1964.279139021513
78,942783401,LEGAL AID SOCIETY - EMPLOYMENT LAW CENTER,CA,San Francisco County,37.77,-122.44,691.8822597233294
79,411518579,KNOLLWOOD COMMUNITY HOUSING CORP,MN,Hennepin County,44.96,-93.38,2426.1099360031094
80,912187143,CONNECTICUT INSTITUTE FOR COMMUNITIES INC,CT,Fairfield County,41.38,-73.47,3934.601976579069
81,382761126,NATIONAL CENTER FOR MANUFACTURING SCIENCES,MI,Washtenaw County,42.22,-83.73,3091.284383730958
82,590674260,MIAMI HEART RESEARCH INSTITUTE INC,FL,Miami-Dade County,25.81,-80.18,3660.266890919995
83,203130699,SCHOOL CHOICE OHIO INC,OH,Franklin County,39.97,-83.03,3126.134676504294
84,430666759,MISSOURI BOTANICAL GARDEN BOARD OF TRUSTEES,MO,St. Louis County,38.71,-90.46,2478.209965790677
85,300274709,NATIONAL ALLIANCE FOR PUBLIC CHARTER SCHOOLS,DC,District of Columbia,38.904,-77.032,3640.824058551001
86,340714797,TUSCARAWAS CTY YMCA CHRISTIAN ASSN,OH,Tuscarawas County,40.6,-81.5,3259.456442280091
88,205320422,EDVOICE INSTITUTE FOR RESEARCH AND EDUCATION,CA,Sacramento County,38.58,-121.49,709.5556000803953
89,300126510,CENTER FOR AMERICAN PROGRESS,DC,District of Columbia,38.904,-77.032,3640.824058551001
90,311229532,OHIO COMMUNITY DEVELOPMENT FINANCE FUND,OH,Franklin County,39.97,-83.03,3126.134676504294
91,237069110,OXFAM-AMERICA INC,DC,District of Columbia,38.92,-77.04,3640.0513424963115
92,521481896,HUMAN RIGHTS CAMPAIGN FOUNDATION,VA,Alexandria city,38.81,-77.13,3632.8359093994754
93,911829974,NEBRASKA CHILDREN AND FAMILIES FOUNDATION,NE,Douglas County,41.26,-95.93,2082.038534937898
94,237084339,GRADUATE MANAGEMENT ADMISSION COUNCIL,CA,Orange County,33.78,-117.84,84.57448693469122
95,351978359,FRIEDMAN FOUNDATION FOR EDUCATIONAL CHOICE INC,GA,Fulton County,33.75,-84.39,3035.387425475512
96,10541478,MAINE CONSERVATION ALLIANCE,ME,Kennebec County,44.4,-69.7,4239.74218890497
97,411606979,A PLUS HOME CARE INC,MN,Scott County,44.76,-93.37,2417.743494757536
98,386263347,COUNCIL OF MICHIGAN FOUNDATIONS,MI,Ottawa County,43.0,-86.1,2914.5601231582746
99,540445205,YOUNG MENS CHRISTIAN ASSOCIATION OF SOUTH HAMPTON ROADS,NC,Buncombe County,35.6,-82.3,3200.928460587598
100,43372500,ISO NEW ENGLAND INC,MA,Hampden County,42.22,-72.64,4002.060392557856
101,204634687,KENMAT FOUNDATION INC,MI,Wayne County,42.43,-83.19,3138.4243836086143
102,841559406,MERCY LOAN FUND,CO,Denver County,39.75,-105.0,1313.4337047522388
103,571192504,SOUTHLAND HEALTH CARE FORUM INC,IL,Cook County,41.51,-87.74,2751.0382203486006
104,50318003,UNITED METHODIST RETIREMENT CENTER,RI,Providence County,41.81,-71.36,4108.739600661173
105,264008029,NAPA VALLEY FESTIVAL ASSOCIATION,CA,Napa County,38.2,-122.23,714.8145825596087
106,200254573,COMMUNITY FOUNDATION HOLDING CORPORATION,NY,Oneida County,43.2,-75.2,3794.974850231006
107,311806773,YAMPA VALLEY MEDICAL CENTER FOUNDATION,CO,Routt County,40.7,-106.9,1239.877801354387
108,270480740,SCHOLARS STRATEGY NETWORK,MN,Hennepin County,44.98,-93.23,2437.781556108284
109,310906405,NORTHERN INDIANA HISTORICAL SOCIETY FOUNDATION,IN,St. Joseph County,41.67,-86.25,2876.1899421047992
110,263603207,HSSD PARENT CLUB NETWORK INC,WI,Brown County,44.6,-88.1,2802.339470738808
111,43326727,CHELSEA JEWISH GREEN HOUSE INC,MA,Suffolk County,42.4,-71.03,4134.112585278241
112,311669279,DIVERSITY RICHMOND,VA,Hanover County,37.7,-77.3,3625.6436610897117
113,520986261,JUBILEE HOUSING INC,DC,District of Columbia,38.92,-77.04,3640.0513424963115
114,990143109,HALE MAHAOLU,HI,Maui County,20.7,-156.6,4112.0743545742425
115,520643040,UNITED STATES NAVAL INSTITUTE,MD,Anne Arundel County,38.985,-76.488,3687.3889585314905
116,205091907,EAST MECKLENBURG HIGH SCHOOL FOUNDATION,NC,Mecklenburg County,35.19,-80.75,3345.5112666960204
117,341414639,BEAVER FIREFIGHTERS ASSOCIATION INC,OH,Jackson County,39.0,-82.6,3159.3100807978494
119,461165316,JEWISH HERITAGE FOUNDATION SUPPORTING ORGANIZATION,KS,Johnson County,38.93,-94.64,2123.3166487828835
120,510106272,TEAMSTERS LOCAL  326,DE,New Castle County,39.6,-75.6,3760.614726005654
121,463444371,COUNCIL ON REGIONAL ECONOMIC EXPANSION AND EDUCATIONAL DEV CORP,TX,Dallas County,32.87,-96.79,1904.5688665326009
122,311830583,COMMUNITIES EMPOWERING PEOPLE TOGETHER,GA,Dooly County,32.1,-83.8,3120.7685830782207
123,770324027,LYTTON IV HOUSING CORPORATION,CA,Santa Clara County,37.44,-122.15,647.806998709772
124,133946644,HASTINGS EDUCATION FOUNDATION INC,NY,Westchester County,40.99,-73.86,3902.948574699697
125,363891982,WEST CHICAGO PRESERVATION CORPORATION,IL,Cook County,41.89,-87.64,2766.7931232343894
126,311675146,LOGAN COUNTY LANDMARK PRESERVATION,OH,Logan County,40.4,-83.7,3072.397158654737
127,311603979,ST MICHAELS ENDOWMENT TRUST FUND,FL,Orange County,28.58,-81.4,3442.376107130276
128,262077869,FOREVER HOME RESCUE NEW ENGLAND INC,TN,Chester County,35.54,-88.53,2639.4341945738643
129,421396859,IOWA LABORERS EMPLOYERS COOPERATION AND EDUCATION TRUST,IA,Polk County,41.63,-93.74,2268.4449767330966
130,30331485,LANDMARK TRUST USA INC,VT,Windham County,42.8,-72.7,3997.0424657266126
131,381443397,UNITY CHRISTIAN HIGH SCHOOL ASSOCIATION,MI,Ottawa County,42.8,-85.9,2926.2270098690024
132,20236885,MONADNOCK UNITED WAY INC,NH,Cheshire County,43.0,-72.3,4029.752595329074
133,61070285,MASONICARE AT NEWTOWN INC,CT,New Haven County,41.46,-72.81,3989.4200883825583
134,161723677,PARAMOUNT COMMUNITY DEVELOPMENT FAMILY LIFE CENTER CORPORATION,DC,District of Columbia,38.91,-76.98,3645.287973557398
135,134224803,MERCY HOUSING PEMBROKE INC,CO,Denver County,39.75,-105.0,1313.4337047522388
136,237439391,POVERELLO CENTER INC,MT,Missoula County,46.9,-113.9,1549.433044954996
137,314424936,UNITED APPEAL FOR ATHENS COUNTY OHIO INC,OH,Athens County,39.3,-82.1,3203.0207229076036
138,222473084,DELAWARE POLICE CHIEFS FOUNDATION INC,DE,Kent County,39.2,-75.6,3762.7125355848143
139,431349378,RESTART INC,MO,Jackson County,39.1,-94.57,2132.7600992951575
140,596196141,GOODWILL INDUSTRIES OF SW FLORIDA INC,FL,Lee County,26.67,-81.76,3478.727015566469
141,942684644,SAFARI CLUB INTERNATIONAL MONTANA CHAPTE,MT,Yellowstone County,45.8,-108.7,1579.2741862176958
142,43166388,NAUSET EDUCATION ASSOCIATIONINC ATT ROSEMARY JOHNSON TREASURER,MA,Suffolk County,42.358000000000004,-71.064,4131.429858994931
143,530200270,AMERICAN FOREIGN SERVICE PROTECTIVE ASSOCIATION,DC,District of Columbia,38.907,-77.042,3639.944376328462
144,416036759,EVANSVILLE FIREMENS RELIEF ASSN,MN,Douglas County,46.0,-95.7,2318.3792446529233
145,352050338,ACCESS HOUSING OF WHITE COUNTY INC,IN,White County,40.8,-86.7,2825.0678785324717
147,208098771,WASATCH CACHE VALLEY BALLET SUPPORT FOUNDATION,UT,Cache County,41.6,-111.7,1054.2878517410657
148,916018658,HOLDEN VILLAGE,WA,Chelan County,48.1,-120.5,1678.928828026663
149,131575490,INTL ALLIANCE OF THEATRICAL STAGE EMPLOYEES M P T A AND A,CA,Los Angeles County,34.15,-118.37,147.98454525887897
150,436062762,OPTIMIST INTERNATIONAL ASHLAND,MO,Boone County,38.8,-92.3,2321.035556454416
151,420283255,MARSHALLTOWN CHAMBER OF COMMERCE,IA,Marshall County,42.1,-92.9,2350.15468504448
152,310725627,STAFFORD VILLAGE RETIREMENT CENTER,OH,Franklin County,40.1,-83.01,3128.6253184193074
153,311749430,ALEXANDRIA SENIOR HOUSING INC,MN,Ramsey County,45.08,-93.14,2448.7945208203196
154,480910617,CEDAR PARK PLACE INC,OH,Franklin County,40.01,-82.92,3135.727072565671
155,611473074,CONNEXUS ASSOCIATION INC,WI,Marathon County,45.0,-89.7,2696.2737336965083
156,453004164,BAYSHORE CHRISTIAN SCHOOL FOUNDATION INC,AL,Baldwin County,30.5,-87.9,2779.2945646800267
158,541726771,OUR LADY OF HOPE HEALTH CENTER INC,VA,Roanoke County,37.35,-79.96,3394.3058705473377
159,383158455,CITIVISION INC,NY,Ulster County,41.797,-73.961,3893.2180411777335
160,60835182,TEAM INC,CT,Hartford County,41.79,-72.67,4000.2448615502785
161,453785398,FIREWORK FOUNDATION,CA,Santa Barbara County,34.42,-119.71,264.6742260268912
162,550673518,KANAWHA VALLEY HOMES INC,OH,Franklin County,40.05,-83.07,3123.215534987868
163,461579750,RAPID CITY GOOD SAMARITAN HOUSING GP INC,SD,Minnehaha County,43.6,-96.7,2122.5969478211687
164,43460139,CALEB GROUP INC,MA,Essex County,42.48,-70.91,4143.753772681156
165,222832638,SPECTRUM HUMAN SERVICES FOUNDATION INC,NY,Erie County,42.7,-78.7,3507.1977908916333
166,330759152,NEWPORT HARBOR SAILING FOUNDATION,CA,Orange County,33.64,-117.88,76.23922108378792
167,756054641,ST MATTHEWS CATHEDRAL ENDOWMENT FUND INC,TX,Dallas County,32.83,-96.77,1906.9488830466282
168,416006820,CATHOLIC YOUTH CAMPS INC,TX,Collin County,33.16,-96.72,1907.546011034922
169,841146310,CHEYENNE MOUNTAIN ZOO ENDOWMENT FUND,CO,El Paso County,38.78,-104.85,1274.9043275541212
170,340969202,MAHONING YOUNGSTOWN COMMUNITY ACTION PARTNERSHIP,OH,Mahoning County,41.12,-80.66,3333.233984211975
171,592252733,SOUTHEASTERN CREDIT UNION FOUNDATION INC,FL,Leon County,30.37,-84.17,3129.5322258099736
172,351661607,IRON WORKERS LOCAL 103 APPRENTICESHIP AND TRAINING PROGRAM,IN,Vanderburgh County,37.97,-87.49,2730.7882715506903
173,42104021,BOSTON FOUNDATION INC,MA,Suffolk County,42.35,-71.08,4130.136537549986
174,510427657,VII ASSOCIATION INC,DC,District of Columbia,38.907,-77.042,3639.944376328462
175,461885871,ELIJAH RISING,TX,Harris County,29.69,-95.53,2093.100079677339
176,951945832,VALLEY PRESBYTERIAN HOSPITAL,CA,Los Angeles County,34.2,-118.45,157.12053066283315
177,141824425,WOODSTOCK FILM FESTIVAL INC,NY,New York County,40.77,-73.99,3892.6879803757906
178,222487344,HOUSING OPPORTUNITIES CORPORATION,RI,Providence County,41.8,-71.43,4102.977070556241
179,522272852,CHARLES STREET DEVELOPMENT CORP,MD,Baltimore city,39.3,-76.61,3675.3242770739066
180,237086890,PENINSULA GENERAL NURSING HOME CORP,NY,Nassau County,40.79,-73.73,3914.502193906953
181,770294934,RANCHO PARK HOUSING CORPORATION,CA,Santa Clara County,37.0,-121.5,572.6014132259826
182,591990323,LAKE-SUMTER STATE COLLEGE FOUNDATION INC,FL,Lake County,28.89,-81.79,3395.7665062162305
183,201810720,LONG ISLAND REAL ESTATE GROUP INC,NY,Nassau County,40.76,-73.58,3927.2353758024824
184,940773441,PITTSBURG ELKS LODGE 1474,IL,Cook County,41.92,-87.65,2766.6015318585705
185,455463284,REDFIELD AREA DEVELOPMENT CORPORATION,SD,Spink County,44.9,-98.6,2061.6071146618724
187,222682176,PIERCE STREET SCHOOL INC,NH,Merrimack County,43.2,-71.5,4094.7788160406726
188,222878487,WINDHAM AND WINDSOR HOUSING TRUST IN,VT,Windham County,42.8,-72.7,3997.0424657266126
189,222575208,BETHANY HOME FOUNDATION INC,RI,Providence County,41.84,-71.39,4106.146628875302
190,204129901,VIRGINIA HOSPITAL CENTER FOUNDATION,VA,Arlington County,38.88,-77.14,3631.6088247578678
191,582504530,ST FRANCIS HOSPITAL INC,MD,Carroll County,39.35,-76.91,3649.3298736885326
192,237284092,NATIONAL ACADEMY OF ENGINEERING FUND,DC,District of Columbia,38.904,-77.032,3640.824058551001
193,541998631,ARLINGTON PEDIATRIC CENTER,VA,Arlington County,38.88,-77.14,3631.6088247578678
194,470491272,OMAHA CHURCH CENTER INC,NE,Douglas County,41.26,-95.93,2082.038534937898
196,521736533,TRANSPLANT RESOURCE CENTER OF MARYLAND INC,MD,Baltimore city,39.3,-76.61,3675.3242770739066
197,542084063,HILL OF HOPE INC,CA,Orange County,33.65,-117.92,79.81173457905936
198,800034784,MERCY PLACE BELMONT INC,CO,Denver County,39.75,-105.0,1313.4337047522388
199,421305755,IOWA RIGHT TO LIFE COMMITTEE EDUCATION FUND INC,IA,Polk County,41.62,-93.79,2264.1449337293143
200,112417269,JEWISH CARE SERVICES OF LONG ISLAND INC,NY,New York County,40.72,-74.01,3891.169071436037
201,383345041,UNIVERSITY OF SANTO TOMAS MEDICAL ALUMNI ASSOCIATION IN AMERICA,IN,Vigo County,39.4,-87.4,2748.650903683441
202,943203203,JUMA VENTURES INC,CA,San Francisco County,37.789,-122.395,690.6468814751031
203,311808710,UCC XV INC,OH,Marion County,40.6,-83.1,3124.6499678284317
204,61453500,BREAST CANCER ALLIANCE INC,NY,New York County,40.765,-73.965,3894.8087965895647
205,471181061,CREEKSIDE INC,IA,Black Hawk County,42.5,-92.5,2394.700502548284
206,352481634,SCHECHTER DAY SCHOOL NETWORK INC,GA,Fulton County,33.93,-84.4,3031.7058043305055
208,61354978,US COAST GUARD ACADEMY ALUMNI ASSOCIATION INC,CT,New London County,41.35,-72.11,4048.146353463444
209,311116603,LIFELINE OF OHIO ORGAN PROCUREMENT INC CO KENT HOLLOWAY,OH,Franklin County,39.99,-83.04,3125.4018708202484
210,112962487,495 STERLING PLACE HDFC,NY,Kings County,40.7,-73.94,3897.1350502506602
211,930862641,OREGON STATE CHAPTER PEO SISTERHOOD CHARITABLE TRUST,OR,Benton County,44.5,-123.3,1360.352249032844
212,946138777,FRIENDS OF THE PALO ALTO PUBLIC LIBRARY,CA,Santa Clara County,37.44,-122.15,647.806998709772
213,431651252,INDEPENDENCE LODGE 2414 LOYAL ORDER OF THE MOOSE,IL,Kane County,41.83,-88.34,2708.612801136653
214,721516058,CAMPUS FACILITIES INC,LA,Bossier Parish,32.58,-93.69,2196.280251374884
215,61013015,BOYS AND GIRLS CLUB OF MERIDEN INC,CT,New Haven County,41.54,-72.82,3988.372070325032
216,232732149,SEDA-COG HOUSING DEVELOPMENT CORPORATION,PA,Union County,41.0,-77.0,3639.433249310526
217,150539044,CHASE MEMORIAL COMMUNITY CENTER INC,NY,Chenango County,42.6,-75.3,3784.1948303557483
218,232161837,HONESDALE VOLUNTEER AMBULANCE CORPS INC,PA,Wayne County,41.6,-75.3,3782.0197392156733
219,263268204,DC BOWL COMMITTEE INC,DC,District of Columbia,38.907,-77.042,3639.944376328462
220,30390362,OAK RIDGE ECONOMIC PARTNERSHIP,TN,Anderson County,36.0,-84.3,3017.5496165581258
221,631145264,GADSDEN-ETOWAH HABITAT FOR HUMANITY,GA,Sumter County,32.0,-84.1,3095.262077129262
222,420934471,DUBUQUE COMMUNITY Y,IA,Dubuque County,42.56,-90.69,2538.877391962812
223,260059271,KOREAN AMERICAN FOOD FOR THE HUNGRY INTERNATIONAL INC,AZ,Maricopa County,33.43,-112.01,487.5282334222377
224,411622190,ELY EDUCATIONAL FOUNDATION INC,MN,St. Louis County,48.0,-92.1,2665.575046677353
225,770329569,RINCON DE LOS ESTEROS INC,CA,Santa Clara County,37.334,-121.891,623.3870305042857
226,561362692,PTA CHATHAM THRIFT SHOP INC,NC,Chatham County,35.58,-79.54,3449.3189231702013
228,421732107,SIXSEEDS INC,MA,Middlesex County,42.44,-71.23,4117.603470208656
229,943142529,DEL CARLO COURT INC,CA,San Francisco County,37.75,-122.42,689.0627058518979
230,136159029,NEW YORK METS FOUNDATION INC,NY,Queens County,40.75,-73.85,3904.5412397720806
231,237426168,WILLOUGHBY SOUTH HIGH SCHOOL BOOSTERS CLUB,OH,Lake County,41.64,-81.37,3278.266484468864
233,621871117,TENNESSEE INFRASTRUCTURE ALLIANCE,TN,Davidson County,36.168,-86.78299999999999,2793.7535569604306
234,356028828,KAPPA DELTA PHI SORORITY PARENT,MD,Montgomery County,39.0,-77.11,3633.6134979485782
235,630013040,AUTOMOBILE DEALERS ASSOCIATION OF AL,AL,Montgomery County,32.35,-86.26,2888.279333866164
236,42088633,SHEET METAL WORKERS LOCAL UNION NO 17 INSURANCE FUND,MA,Suffolk County,42.29,-71.07,4131.12149934291
237,16040875,MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE,ME,Kennebec County,44.29,-69.82,4230.127988731681
238,741490851,ESSAR RECREATION ASSOCIATION,TX,Bexar County,29.46,-98.57,1819.602331053625
239,237219136,VESTAL ELKS LODGE 2508,NY,Rensselaer County,42.6,-73.5,3931.488508410469
240,480692681,MEDICAL SOCIETY OF JOHNSON AND WYANDOTTE COUNTIES,KS,Johnson County,39.02,-94.67,2122.610251760889
241,361787650,SLOVENE NATIONAL BENEFIT SOCIETY,PA,Lawrence County,40.89,-80.46,3348.6113735082904
243,237127023,FREE AND ACCEPTED MASONS OF INDIANA LODGE 58,IN,Union County,39.6,-84.9,2964.220529779878
244,30368814,UNDERDOG FOUNDATION,CA,San Francisco County,37.8,-122.46,695.498005330476
245,640780130,NORTH MISSISSIPPI EMERGENCY SERVICES,MS,Lee County,34.23,-88.77,2628.1199825436806
247,562514122,EXITO INC,AZ,Maricopa County,33.51,-112.03,485.9997242316565
249,311021106,FRANKLIN-SIMPSON COMMUNITY ART,KY,Simpson County,36.7,-86.6,2808.3646010722287
250,236401909,FRIENDSHIP FIRE AND HOSE CO 1 OF ELIZABETHTOWN PENNSYLVANIA,PA,Lancaster County,40.2,-76.6,3673.4245019262653
251,383086920,AVALON NONPROFIT HOUSING CORPORATION,MI,Washtenaw County,42.3,-83.7,3094.946315128344
252,464959371,DESTINATION MEDICAL CENTER CORPORATION,MN,Olmsted County,44.0,-92.4,2456.9387438786243
253,421565179,BRYANT PARKVIEW CARE CENTER,SD,Hamlin County,44.6,-97.4,2125.325499465707
255,911779397,ALPHA DELTA MANAGEMENT,WA,King County,47.6,-122.33,1657.0324052330523
256,951914215,SOUTH BAY CREDIT UNION,CA,San Bernardino County,34.03,-117.59,97.51403059928879
257,521044350,AMERICAN COUNCIL OF LIFE INSURERS INC,DC,District of Columbia,38.91,-77.02,3641.8306713658585
258,810250283,BRIDGER BOWL ASSOCIATION,MT,Gallatin County,45.7,-111.0,1488.7304039247317
259,166072836,UPSTATE UNION HEALTH AND WELFARE FUND,NY,Onondaga County,43.05,-76.19,3713.882265206908
260,311626454,GLASS MANUFACTURING INDUSTRY COUNCIL,OH,Delaware County,40.16,-82.87,3140.8873287798688
261,262718175,JOINT COUNCIL 1217 USWU IUJAT,NY,Queens County,40.76,-73.94,3896.929966231043
